Company,CrunchBase Profile,Image,Tagline,Year Founded,Market Categories,Address (HQ),City (HQ),State / Region (HQ),Country (HQ),Description,Homepage,Twitter,Acquired by,Acquisitions ID,API
Sandcastle,http://www.crunchbase.com/organization/sandcastle,,Sandcastle was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired Sandcastle in 1997,http://api.crunchbase.com/v/2/organization/sandcastle?user_key=0ebdc8274e821149894a240090945265
Scene7,http://www.crunchbase.com/organization/sence7,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1402933152/uskr5qin3kpjximsmnqh.png",Scene7 acquired by Adobe was a leading on-demand rich media platform,,,,,,,"Adobe acquired Scene7 in May 2007 and now offers Scene7 as one of its products.Scene7 – provider of the leading on-demand rich media platform – enables companies to grow revenues, enhance customer experience and cut production costs. With Scene7, businesses can improve the entire selling and marketing cycle – from attracting customers, to guiding them to the right products and services, to successfully converting them into loyal buyers. The company offers rich media solutions built on a robust, integrated technology platform – for unrivaled breadth, depth, scalability and ease of ongoing rich media use.Adobe acquired Scene7 in May 2007.",http://www.scene7.com,,Adobe,Adobe Systems acquired Scene7 in 2007,http://api.crunchbase.com/v/2/organization/sence7?user_key=0ebdc8274e821149894a240090945265
Serious Magic,http://www.crunchbase.com/organization/serious-magic,,Serious Magic was added to CrunchBase in 2009,,,,,,,,,,Adobe,Adobe Systems acquired Serious Magic in 2006,http://api.crunchbase.com/v/2/organization/serious-magic?user_key=0ebdc8274e821149894a240090945265
Thumb Labs,http://www.crunchbase.com/organization/thumb-labs,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181464/30f14af2da7bb76907e5f60ded19906c.jpg",,,Mobile,,,,,,http://thumblabs.com,http://twitter.com/thumblabs,Adobe,Adobe Systems acquired Thumb Labs in 2013,http://api.crunchbase.com/v/2/organization/thumb-labs?user_key=0ebdc8274e821149894a240090945265
Trade and Technologies France,http://www.crunchbase.com/organization/trade-and-technologies-france,,Trade and Technologies France was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired Trade and Technologies France in 2006,http://api.crunchbase.com/v/2/organization/trade-and-technologies-france?user_key=0ebdc8274e821149894a240090945265
Typekit,http://www.crunchbase.com/organization/typekit,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397195645/ec68147503f69c1f24f3043f9f0ab13e.jpg",Typekit allows subscribers to embed fonts into online documents and websites.,2008,Curated Web,"2601 Mission Street, Suite 900, San Francisco, California, United States",San Francisco,California,United States,"Formerly known as Small Batch, Typekit is the easiest way to use real fonts on the web. It's a subscription-based service for linking to high-quality Open Type fonts from some of the worlds best type foundries. Their fonts are served from a global network on redundant servers, offering bulletproof service and incredible speed. And it couldn't be easier to use.",http://typekit.com,http://twitter.com/typekit,Adobe,Adobe Systems acquired Typekit in 2011,http://api.crunchbase.com/v/2/organization/typekit?user_key=0ebdc8274e821149894a240090945265
Virtual Ubiquity,http://www.crunchbase.com/organization/virtual-ubiquity,,Virtual Ubiquity was added to CrunchBase in 2008,,,,,,,,,,Adobe,Adobe Systems acquired Virtual Ubiquity in 2007,http://api.crunchbase.com/v/2/organization/virtual-ubiquity?user_key=0ebdc8274e821149894a240090945265
YaWah,http://www.crunchbase.com/organization/yawah,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397198382/031209a25b610fa37ffe10da223f29c5.jpg",YaWah is an Adobe Group Company and its products are now part of the Adobe Scene7 product family.,,,"Postboks 30, SkÃ¸dstrup, Denmark",SkÃ¸dstrup,,Denmark,YaWah is an Adobe Group Company and its products are now part of the Adobe Scene7 product family.,http://www.yawah.com,,Adobe,Adobe Systems acquired YaWah in 2008,http://api.crunchbase.com/v/2/organization/yawah?user_key=0ebdc8274e821149894a240090945265
AbeBooks,http://www.crunchbase.com/organization/abebooks,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397190957/188445de5f50eb76107d86b29f464ebb.png","AbeBooks, an Amazon subsidiary, is an online marketplace for new, used, rare and out-of-print books from thousands of sellers.",1996,"Curated Web, Textbooks","655 Tyee Road, Suite 500, Victoria, British Columbia, Canada",Victoria,British Columbia,Canada,"AbeBooks is an online marketplace for books, listing over 110 million new, used, rare, and out of print books from 13,500 sellers.  AbeBooks offers a range of services including support, HomeBase inventory management software, and five international sites to reach global markets.  The company often fills a niche for Amazon in finding hard-to-find or out-of-print books.AbeBooks is an Amazon subsidiary.",http://www.abebooks.com,http://twitter.com/AbeBooks,Amazon,Amazon acquired AbeBooks in 2008,http://api.crunchbase.com/v/2/organization/abebooks?user_key=0ebdc8274e821149894a240090945265
Accept.Com,http://www.crunchbase.com/organization/accept-com,,Accept.Com was added to CrunchBase in 2010,,,,,,,,,,Amazon,Amazon acquired Accept.Com in 1999,http://api.crunchbase.com/v/2/organization/accept-com?user_key=0ebdc8274e821149894a240090945265
Alexa,http://www.crunchbase.com/organization/alexa,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183177/fa515300ce15643be3d0579f53d7b9e9.png","Alexa, a subsidiary of Amazon, is a web information company that offers website information and analytics.",1996,Curated Web,"Presidio of San Francisco, PO Box 29141, San Francisco, California, United States",San Francisco,California,United States,"""Founded in April 1996, Alexa Internet grew out of a vision of Web navigation that is intelligent and constantly improving with the participation of its users. Along the way Alexa has developed an installed base of millions of toolbars, one of the largest Web crawls and an infrastructure to process and serve massive amounts of data. For users of Alexa's Toolbar and web site this has resulted in products that have revolutionized Web navigation and intelligence. For developers this has resulted in a set of tools unprecedented in scope allowing whole new services to be created on the Alexa data and platform."" Source: Alexa",http://www.alexa.com,http://twitter.com/AlexaInternet,Amazon,Amazon acquired Alexa in 1999,http://api.crunchbase.com/v/2/organization/alexa?user_key=0ebdc8274e821149894a240090945265
Amie Street,http://www.crunchbase.com/organization/amiestreet,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180368/58ad1debb0deac7188d633712a166b23.gif","Amie Street is a web-based social music store that enables members to discover, download and share music.",2011,"Marketplaces, Curated Web, Music","Long Island City, New York, United States",Long Island City,New York,United States,"Launched in July of 2006, AmieStreet pronounced like the name ""Amy"" allows artists to upload their music for promotion and sale.  All songs are free to start, but prices fluctuate over time based on demand.  The site, started by three Brown University seniors, gives artists 70% of revenues after taking the first $5 of revenue from each song.AmieStreet has partnered with a number of labels including Nettwerk Music Group, INgrooves, Daptone Records and United For Opportunity UFO.  Music from these labels is sold in the same manner as all other music on AmieStreet. The service's closest competitor is SellABand, which also has a socially driven music monetization model.",http://amiestreet.com,http://twitter.com/amiestreet_logs,Amazon,Amazon acquired Amie Street in 2010,http://api.crunchbase.com/v/2/organization/amiestreet?user_key=0ebdc8274e821149894a240090945265
Audible,http://www.crunchbase.com/organization/audible,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1406195598/trnfcycjw6cnt8zm3gw6.png","Audible is an internet provider of spoken audio entertainment, information and educational programming.",1999,E-Commerce,"One Washington Park, 16th Floor, Newark, New Jersey, United States",Newark,New Jersey,United States,"Audible is a provider of spoken audio information and entertainment , on the Internet. They provide premium spoken audio content, such as audio versions of books and newspapers and radio programs, that is delivered over the Internet and played back on personal computers and hand-held electronic devices. The Audible service allows consumers to purchase and download their content from their Website, store it in digital files and play it back on personal computers and electronic devices. More than 15,000 hours of audio content are available on their Web site, including audio versions of books, periodicals and radio programs. Several manufacturers have agreed to support and promote the playback of their content on their hand-held audio-enabled electronic devices.",http://www.audible.com,http://twitter.com/audible_com,Amazon,Amazon acquired Audible in 2008,http://api.crunchbase.com/v/2/organization/audible?user_key=0ebdc8274e821149894a240090945265
Bookpages,http://www.crunchbase.com/organization/bookpages,,Bookpages was added to CrunchBase in 2010,,,,,,,,,,Amazon,Amazon acquired Bookpages in 1998,http://api.crunchbase.com/v/2/organization/bookpages?user_key=0ebdc8274e821149894a240090945265
BookSurge,http://www.crunchbase.com/organization/booksurge,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397198536/69968a138633ee069c60d21293f3baf4.jpg","BookSurge, a brand of On-Demand Publishing LLC, a subsidiary of Amazon.com Inc., is a pioneer in inventory-free book publishing, printing,",,,,,,,"BookSurge, a brand of On-Demand Publishing LLC, a subsidiary of Amazon.com Inc., is a pioneer in inventory-free book publishing, printing, fulfillment and distribution. They continue to expand their inventory-free book fulfillment network, allowing publishers and authors to seamlessly distribute their content through existing channels, as well as to leading retailers, e-tailers, distributors and other specialty book sales markets.",http://www.booksurge.com,,Amazon,Amazon acquired BookSurge in 2005,http://api.crunchbase.com/v/2/organization/booksurge?user_key=0ebdc8274e821149894a240090945265
