Username,ID,Country Attribution,Number of Licenses,Current Customer?,Total Costs,"Total Costs (with ""deleted"" licenses)",Software Purchased
88F3D306,49,Australia NSW Police,9,Yes,"€1,184,100","€1,790,700","FinSpy, FinIntrusion Kit, FinFly USB, FinSpy Mobile, FinFireWire"
86BECF61,50,,6,Yes,"€26,160","€78,480","FinUSB Suite, FinFireWire"
DBB3DED7,51,,3,,"€13,080","€39,240","FinFireWire, FinUSB Suite"
76026992,52,,23,Yes,"€924,960","€3,221,460","FinUSB Suite, FinFireWire, FinSpy, FinSpy Mobile, FinFly USB, FinFly LAN, FinIntrusion Kit, FinFly Web"
59763BFA,53,,33,Yes,"€1,410,660","€7,717,560","FinSpy, FinIntrusion Kit, FinUSB Suite, FinSpy Mobile, FinFly USB, FinFly Web, FinFireWire, FinFly LAN"
C5093EE3,54,,3,,"€56,760","€56,760","FinUSB Suite, FinFireWire, FinIntrusion Kit"
3FED1144,55,,5,Yes,"€243,120","€449,640","FinSpy, FinFly USB, FinFly Web"
49378CEF,56,,8,Yes,"€787,800","€2,303,400","FinSpy, FinSpy Mobile, FinFly Web"
CC1AC4B8,57,,5,,"€1,282,200","€3,170,400","FinSpy Mobile, FinSpy"
89EC5BB5,58,,12,Yes,"€232,800","€759,960","FinSpy, FinFly USB, FinIntrusion Kit, FinUSB Suite, FinFireWire"
62CF12AD,59,,9,,€0,"€744,960","FinFireWire, FinFly ISP, FinFly LAN, FinFly USB, FinFly Web, FinIntrusion Kit, FinSpy, FinSpy Mobile, FinUSB Suite"
3DF77708,60,,2,,"€311,220","€311,220","FinSpy, FinFly USB"
70CD6D97,61,Belgium,13,,"€562,860","€1,104,360","FinSpy, FinFly USB, FinSpy Mobile, FinFly LAN, FinFireWire, FinFly Web, FinIntrusion Kit"
79E95D1D,62,,2,,"€183,720","€183,720","FinFly USB, FinSpy"
663F8B4D,63,,3,Yes,"€219,900","€219,900","FinSpy, FinFly USB, FinUSB Suite"
1E198336,64,,2,Yes,"€390,420","€390,420","FinSpy, FinFly USB"
F9660CE4,65,Nigeria,6,,"€703,740","€703,740","FinSpy, FinSpy Mobile, FinFly LAN, FinIntrusion Kit, FinUSB Suite, FinFireWire"
CF770EB3,66,,1,Yes,"€36,600","€36,600",FinFly Web
0917680A,67,,9,Yes,"€1,018,560","€1,055,160","FinUSB Suite, FinFireWire, FinSpy, FinFly USB, FinSpy Mobile, FinFly Web, FinFly LAN, FinIntrusion Kit"
20FEC907,68,Netherlands KLPD,16,Yes,"€404,400","€2,741,760","FinSpy, FinSpy Mobile, FinFly USB"
B206FF8C,69,Singapore PCS Security,19,Yes,"€900,480","€3,166,560","FinUSB Suite, FinIntrusion Kit, FinSpy, FinFly USB"
82990EA6,70,,6,Yes,"€231,300","€462,600","FinSpy, FinFly USB, FinUSB Suite"
6B9EDD58,71,Bangladesh,6,Yes,"€277,020","€831,060","FinSpy, FinFly USB"
79A22210,72,,3,,"€202,200","€606,600",FinSpy
0012A3F0,73,Hungary SSNS,5,Yes,"€208,500","€403,920","FinFly USB, FinSpy, FinFireWire"
36666677,74,,11,Yes,"€1,514,340","€1,514,340","FinSpy, FinSpy Mobile, FinIntrusion Kit, FinFly LAN, FinFly Web"
7656ED4D,75,,1,,"€13,080","€13,080",FinUSB Suite
DA93FA7D,76,,1,,"€13,080","€13,080",FinUSB Suite
FB0C602B,78,,12,Yes,"€558,360","€1,185,900","FinFly Web, FinFly LAN, FinFly USB, FinSpy, FinSpy Mobile"
22F984B0,79,,5,Yes,"€558,360","€558,360","FinFly USB, FinSpy, FinSpy Mobile, FinFly Web, FinFly LAN"
EDD0F89C,80,,1,Yes,"€13,080","€13,080",FinUSB Suite
7306871B,81,Italy,4,Yes,"€1,120,800","€1,616,400","FinSpy, FinSpy Mobile"
7F425F82,82,Bosnia Herzegovina Intelligence,3,Yes,"€202,200","€409,020","FinFly USB, FinSpy"
43A301F9,83,,7,Yes,"€709,080","€709,080","FinSpy, FinFly USB, FinIntrusion Kit, FinFireWire, FinFly LAN, FinFly Web, FinSpy Mobile"
151D22D0,84,,6,Yes,"€606,180","€606,180","FinSpy, FinSpy Mobile, FinFly USB, FinUSB Suite, FinFireWire, FinIntrusion Kit"
80C618D4,85,Italy,3,,"€682,800","€1,024,200","FinSpy, FinSpy Mobile"
026B8822,86,,10,Yes,"€1,324,860","€1,437,720","FinSpy, FinFireWire, FinIntrusion Kit, FinFly LAN, FinFly Web, FinSpy Mobile"
C6FEB248,87,,3,Yes,"€367,500","€367,500","FinFly USB, FinSpy, FinSpy Mobile"
CC57BE53,88,,18,Yes,"€733,320","€1,466,640","FinSpy, FinSpy Mobile, FinUSB Suite, FinIntrusion Kit, FinFly LAN, FinFly Web"
2A167AC6,89,,5,Yes,"€921,960","€921,960","FinSpy Mobile, FinSpy, FinIntrusion Kit, FinFireWire, FinUSB Suite"
F547C8AC,90,,3,Yes,"€43,680","€74,280","FinIntrusion Kit, FinUSB Suite"
F90ACE17,91,,15,Yes,"€1,180,980","€1,713,780","FinFireWire, FinSpy, FinSpy Mobile, FinIntrusion Kit, FinUSB Suite, FinFly LAN, FinFly Web"
Geoff1,92,,1,,€0,"€163,898",FinFly Net
180018D8,93,,7,Yes,"€1,059,540","€1,059,540","FinSpy, FinSpy Mobile, FinIntrusion Kit, FinUSB Suite, FinFireWire, FinFly LAN, FinFly Web"
613780C4,94,,1,Yes,"€307,200","€307,200",FinSpy Mobile
6B5CC6A2,95,,1,Yes,"€242,280","€242,280",FinSpy Mobile
FCFE2B79,96,,6,Yes,€0,"€1,096,260","FinUSB Suite, FinFireWire, FinSpy, FinSpy Mobile, FinFly USB"
C1D31255,97,,7,Yes,"€1,132,860","€1,132,860","FinUSB Suite, FinFireWire, FinFly USB, FinSpy, FinSpy Mobile, FinFly Web"
72EDF7D3,98,,2,Yes,"€404,400","€404,400","FinSpy, FinSpy Mobile"
78D08C85,99,,10,Yes,"€1,252,920","€1,252,920","FinIntrusion Kit, FinSpy, FinSpy Mobile, FinFly LAN, FinUSB Suite, FinFireWire, FinFly Web"
DAF42FBC,100,,8,Yes,"€2,840,100","€2,840,100","FinSpy, FinSpy Mobile, FinIntrusion Kit, FinFly Web, FinUSB Suite, FinFly USB"
*DUMMY,a,"a,a",a,a,a,a,"a,a link"
