Building,City,Country,Architect / Designer,Construction Costs ($/sqm),Total Construction Costs (billion $).text,Costruction Costs adjusted for inflation (2012) (billion $),Height (meters),Floors,Year Built,Building Wikipedia Profile,Architect / Designer Profile,Image,Description
Princess Tower,Dubai,United Arab Emirates,Adnan Saffarini,"$14,467","$2,170,000,000","$2,170,000,000",414,101,2012,http://en.wikipedia.org/wiki/Princess_Tower,http://en.wikipedia.org/w/index.php?title=Adnan_Saffarini&action=edit&redlink=1,http://upload.wikimedia.org/wikipedia/commons/8/8f/Princess_Tower.jpg,"The Princess Tower is a 101 storey, 414 m (1,358 ft) tall residentialskyscraper located in the Marina district of Dubai, UAE. Princess Tower was the world's tallest residential building in 2012."
Resorts World Sentosa,Singapore,Singapore,Michael Graves,"$15,170","$4,930,000,000","$5,380,000,000",50,10,2010,http://en.wikipedia.org/wiki/Resorts_World_Sentosa,http://en.wikipedia.org/wiki/Michael_Graves,http://upload.wikimedia.org/wikipedia/commons/0/04/Resorts_World_Sentosa_logo.svg,"Resorts World Sentosa is an integrated resort on the island of Sentosa, off the southern coast of Singapore. The key attractions include one of Singapore's two casinos, a Universal Studios theme park, Adventure Cove Water Park, and a Marine Life Park, which includes the world's largest oceanarium."
Taipei 101,Taipei,Taiwan,C.Y. Lee & Partners,"$9,307","$1,800,000,000","$2,000,000,000",509,101,2004,http://en.wikipedia.org/wiki/Taipei_101,http://en.wikipedia.org/wiki/C._Y._Lee,http://upload.wikimedia.org/wikipedia/commons/c/c9/Taipei101.portrait.altonthompson.jpg,"Taipei 101 (Chinese: 臺北101 / 台北101), formerly known as the Taipei World Financial Center, is a landmark skyscraper located in Xinyi District, Taipei, Taiwan. The building ranked officially as the world's tallest from 2004 until the opening of the Burj Khalifa in Dubai in 2010. In July 2011, the building was awarded LEED Platinum certification, the highest award in the Leadership in Energy and Environmental Design (LEED) rating system and became the tallest and largest green building in the world. Taipei 101 was designed by C.Y. Lee & partners and constructed primarily by KTRT Joint Venture. The construction was finished in 2004. The tower has served as an icon of modern Taiwan ever since its opening. Fireworks launched from Taipei 101 feature prominently in international New Year's Eve broadcasts and the structure appears frequently in travel literature and international media."
The Cosmopolitan,Las Vegas,United States of America,Friedmutter Group,"$6,307","$3,900,000,000","$4,160,000,000",184,52,2010,http://en.wikipedia.org/wiki/Cosmopolitan_of_Las_Vegas,http://en.wikipedia.org/w/index.php?title=Friedmutter_Group&action=edit&redlink=1,http://upload.wikimedia.org/wikipedia/en/4/4c/Cosmopolitan_of_Las_Vegas_logo.svg,"The Cosmopolitan of Las Vegas, (commonly referred to simply as The Cosmopolitan or The Cosmo) is a luxury resort casino and hotel on the Las Vegas Strip. The resort opened on December 15, 2010, and is located just south of the Bellagio on the west side of Las Vegas Boulevard, and consists of two highrise towers. Construction on the Cosmopolitan initially began in October 2005. The construction was undertaken by the project's financier Deutsche Bank after developer Bruce Eichner entered into financial difficulties. The hotel casino failed to make a profit from the time of its opening until its sale in May 2014. The $3.9 billion project features 2,995 rooms, a 110,000 sq ft (10,000 m2) casino, 300,000 sq ft (28,000 m2) of retail and restaurant space, a 40,000 sq ft (3,700 m2) spa and fitness facility, a 1,800 seat theater, and 150,000 sq ft (14,000 m2) of meeting/convention space. In 2013, the hotel was rated ""The Best Hotel in the World"" by Gogobot. On May 15 2014, The Cosmopolitan was sold by sole owner Deutsche Bank to Blackstone Group for $1.73 billion."
The Palazzo,Las Vegas,United States of America,"HKS, Inc.","$2,788","$1,800,000,000","$2,050,000,000",196,50,2007,http://en.wikipedia.org/wiki/The_Palazzo,"http://en.wikipedia.org/wiki/HKS,_Inc.",http://upload.wikimedia.org/wikipedia/commons/8/82/Palazzo_Las_Vegas_logo.svg,"The Palazzo/pəˈlɑːtsoʊ/ is a luxuryhotel and casinoresort situated between Wynn and The Venetian on the Las Vegas Strip in Paradise, Nevada. It is the tallest completed building in Nevada (although the Fontainebleau Resort Las Vegas, whose construction is currently abandoned  due to financial problems, would have been taller). Designed by the Dallas based HKS, Inc., the property's design is marketed as being reflective of a modern European ambiance and luxury living. The hotel and casino are part of a larger complex (operated as one hotel) comprising the adjoining Venetian Hotel and Casino and the Sands Convention Center, all of which are owned and operated by the Las Vegas Sands Corporation."
Triple One,Yongsan,South Korea,Renzo Piano,"$4,276","$1,270,000,000","$1,270,000,000",620,111,2016,,http://en.wikipedia.org/wiki/Renzo_Piano,http://static.dezeen.com/uploads/2012/06/dezeen_Triple-One-by-Renzo-Piano-Building-Workshop.jpg,
Venetian Macau,Macau,Macau,Aedas,"$2,450","$2,400,000,000","$2,970,000,000",225,39,2005,http://en.wikipedia.org/wiki/Venetian_Macau,http://en.wikipedia.org/wiki/Aedas,http://upload.wikimedia.org/wikipedia/en/c/c9/Venetian-logo.jpg,"The Venetian Macao (Chinese: 澳門威尼斯人度假村酒店) is a luxury hotel and casino resort in Macau, China, owned by the Las Vegas Sands. The Venetian is a 39-story, $2.4 billion anchor for the seven hotels on the Cotai Strip in Macau. The 10,500,000-square-foot (980,000 m2) Venetian Macao is modeled on its sister casino resort The Venetian Las Vegas, and is the seventh-largest building in the world by floor area. The Venetian Macao is the largest casino in the world, and the largest single structure hotel building in Asia."
Wembley Stadium,London,UK,Foster and Partners,,"$1,500,000,000","$1,840,000,000",133,5,2006,http://en.wikipedia.org/wiki/Wembley_Stadium,http://en.wikipedia.org/wiki/Foster_and_Partners,http://upload.wikimedia.org/wikipedia/en/6/6c/Wembley_Logo.jpg,"Wembley Stadium (currently known officially as Wembley Stadium connected by EE for commercial sponsorship reasons) is an association footballstadium in Wembley Park, London, England. It opened in 2007 and was built on the site of the earlier Wembley Stadium which was demolished in 2003. The stadium hosts major football matches such as the FA Cup Final and home matches of the England national football team."
World Finance Center,Shanghai,China,Kohn Pedersen Fox,"$3,145","$1,200,000,000","$1,390,000,000",494,101,2008,http://en.wikipedia.org/wiki/World_Finance_Center,http://en.wikipedia.org/wiki/Kohn_Pedersen_Fox,http://upload.wikimedia.org/wikipedia/commons/c/c8/SWFC3600ppx4.jpg,"The Shanghai World Financial Center (SWFC; Chinese: 上海环球金融中心) is a supertallskyscraper located in the Pudong district of Shanghai, China. It was designed by Kohn Pedersen Fox and developed by the Mori Building Company, with Leslie E. Robertson Associates as its structural engineer and China State Construction Engineering Corp and Shanghai Construction (Group) General Co. as its main contractor. It is a mixed-use skyscraper, consisting of offices, hotels, conference rooms, observation decks, and ground-floor shopping malls. Park Hyatt Shanghai is the tower's hotel component, comprising 174 rooms and suites. Occupying the 79th to the 93rd floors, surpassing the Grand Hyatt Shanghai on the 53rd to 87th floors of the neighboring Jin Mao Tower. It is the second-highest hotel in the world after The Ritz-Carlton, Hong Kong, which occupies floors 102 to 118 of the International Commerce Centre."
Wynn Resort,Las Vegas,United States of America,Butler/Ashworth Architects,"$3,103","$2,700,000,000","$3,260,000,000",187,45,2005,http://en.wikipedia.org/wiki/Wynn_Resort,http://en.wikipedia.org/w/index.php?title=Butler/Ashworth_Architects&action=edit&redlink=1,http://upload.wikimedia.org/wikipedia/commons/f/f9/Wynn_Las_Vegas_logo.svg,"Wynn Las Vegas, often referred to as simply the Wynn, is a luxury resort and casino located on the Las Vegas Strip in Paradise, Nevada. The US$2.7 billion resort is named after casino developer Steve Wynn and is the flagship property of Wynn Resorts Limited.The resort covers 215 acres (87 ha). It is located at the northeast corner of Las Vegas Boulevard and Sands Avenue, directly across The Strip from the Fashion Show Mall."
Yankee Stadium,New York,United States of America,Populous,"$12,230","$1,500,000,000","$1,630,000,000",61,5,2009,http://en.wikipedia.org/wiki/Yankee_Stadium,http://en.wikipedia.org/wiki/Populous_(company),http://upload.wikimedia.org/wikipedia/en/e/e0/Yankee_Stadium_Logo.png,"Yankee Stadium is a stadium located in the SouthBronx in New York City. It is the home ballpark for the New York Yankees of Major League Baseball, and will also be the home of New York City FC of Major League Soccer. It opened at the beginning of the 2009 MLB season as a replacement for the team's previous home, the original Yankee Stadium, which opened in 1923 and closed in 2008. The new ballpark was constructed across the street, north-northeast of the 1923 Yankee Stadium, on the former site of Macombs Dam Park. The ballpark opened April 2, 2009, when the Yankees hosted a workout day in front of fans from the Bronx community. The first game at the new Yankee Stadium was a pre-season exhibition game against the Chicago Cubs played on April 3, 2009, which the Yankees won 7–4. The first regular season game was played on April 16, a 10–2 Yankee loss to the Cleveland Indians."
