Name,Profile,Produced / First Used,Producer,Origin,Operators,Weapon Category,*REMOVE*Service History,Quantity,Photo,Notes,Description
Improvised Exlosive Device (IED),http://en.wikipedia.org/wiki/Improvised_explosive_device,,,,,Improvised weapon,,,//upload.wikimedia.org/wikipedia/commons/thumb/a/a5/IED_Baghdad_from_munitions.jpg/250px-IED_Baghdad_from_munitions.jpg,Most commonly used,"An improvised explosive device ( IED ) is a homemade bomb constructed and deployed in ways other than in conventional military action. It may be constructed of conventional military explosives, such as an artillery round, attached to a detonating mechanism. Roadside bombs are a common use of IEDs."
M62 grenade,http://en.wikipedia.org/wiki/M26_grenade,1962,,United States,"Australia, Canada, Israel, Pakistan, Portugal, South Africa, United Kingdom, United States of America",Grenade,,,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/M-67Grenade.jpg/80px-M-67Grenade.jpg,Multiple caches,The M26 is a fragmentation hand grenade made by the United States .
Sikorsky UH-60 Black Hawk,http://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk,1974,,United States,"Argentina, Australia, Austria, Bahrain, Brazil, Brunei, Chile, China, Colombia, Egypt, Israel, Japan, Jordan, Malaysia, Mexico, Morocco, Philippines, Saudi Arabia, South Korea, Sweden, Taiwan, Thailand, Turkey, United Arab Emirates, United States of America",Aircraft,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Blackhawk.jpg/150px-Blackhawk.jpg,No evidence of deployment,"The Sikorsky UH-60 Black Hawk is a four-bladed, twin-engine, medium-lift utility helicopter manufactured by Sikorsky Aircraft. Sikorsky submitted the S-70 design for the United States Army s Utility Tactical Transport Aircraft System (UTTAS) competition in 1972. The Army designated the prototype as the YUH-60A and selected the Black Hawk as the winner of the program in 1976, after a fly-off competition with the Boeing Vertol YUH-61 ."
FN-6,http://en.wikipedia.org/wiki/FN-6,2013,China National Precision Machinery Import and Export Corporation,China,"Bangladesh, Cambodia, China, Malaysia, Pakistan, Peru, Sudan, Syria",Missile,,,http://upload.wikimedia.org/wikipedia/en/thumb/8/8e/FN-16_MANPADS.jpg/300px-FN-16_MANPADS.jpg,Reportedly used in 3 October 2014 in Baiji to shoot down an Iraqi Mi-35M helicopter.,"FN-6 (FN = FeiNu, 飞弩, meaning Flying Crossbow), is a third generation passive infrared (IR) man portable air defence system (MANPADS). It was developed by China, and is their most advanced surface-to-air missile offered in the international market. Specially designed to engage low flying targets, it has a range of 6 km and a maximum altitude of 3.8 km. The FN-6 is in service with the People's Liberation Army (PLA), and has also been exported to Malaysia, Cambodia, Sudan and Peru. Based on FN-6, China has developed a number of other MANPADS, such as HN and FY series, as well as other vehicle-based short-range air defense systems such as FN and FB series."
Type 59,http://en.wikipedia.org/wiki/130_mm_towed_field_gun_M1954_(M-46),1954,MOTZ,Soviet Union,"Algeria, Angola, Azerbaijan, Bangladesh, Bosnia and Herzegovina, Cambodia, Cameroon, China, Cuba, Democratic Republic of the Congo, Egypt, Eritrea, Finland, Guyana, India, Iran, Ivory Coast, Laos, Lebanon, Libya, Mongolia, Morocco, Mozambique, Myanmar, Nigeria, North Korea, Oman, Pakistan, Peru, Republic of the Congo, Serbia, Sri Lanka, Sudan, Syria, Tanzania, Thailand, Vietnam, Yemen, Zambia",Towed Cannon,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Iraqi_Type_59_130_mm_field_gun.JPEG/230px-Iraqi_Type_59_130_mm_field_gun.JPEG,,"The 130 mm towed field gun M-46 M1954 ( Russian : 130-мм пушка M-46 обр. 1954 г. ) is a manually loaded, towed 130 mm artillery piece, manufactured in the Soviet Union in the 1950s. It was first observed by the west in 1954. There is also a Chinese copy, called Type 59 ."
MiG-21,http://en.wikipedia.org/wiki/Mikoyan-Gurevich_MiG-21,1959,Mikoyan-Gurevich OKB,Soviet Union,"Bulgaria, Cambodia, Croatia, Cuba, Egypt, Guinea, India, Libya, Mali, Mozambique, North Korea, Romania, Serbia, Syria, Uganda, Vietnam, Yemen, Zambia",Aircraft,,3,//upload.wikimedia.org/wikipedia/commons/thumb/3/31/MiG-21UM_16178_Serbian_Air_Force.jpg/150px-MiG-21UM_16178_Serbian_Air_Force.jpg,,"The Mikoyan-Gurevich MiG-21 ( Russian : Микоян и Гуревич МиГ-21 ; NATO reporting name : Fishbed ) is a supersonic jet fighter aircraft, designed by the Mikoyan-Gurevich Design Bureau in the Soviet Union. It was popularly nicknamed ""Balalaika"", from the aircraft's planform-view resemblance to the Russian stringed musical instrument or ołówek (English: pencil) by Polish pilots due to the shape of its fuselage. [2]"
BM-21 Grad,http://en.wikipedia.org/wiki/BM-21_Grad,1963,Splav State Research and Production Enterprise,Soviet Union,"Afghanistan, Algeria, Angola, Armenia, Azerbaijan, Bangladesh, Belarus, Bosnia and Herzegovina, Bulgaria, Burkina Faso, Burundi, Cambodia, Cameroon, Chad, Ivory Coast, Croatia, Cuba, Cyprus, Democratic Republic of the Congo, Djibouti, Ecuador, Egypt, Eritrea, Ethiopia, Finland, Georgia, Greece, Hungary, India, Indonesia, Iran, Iraq, Israel, Kazakhstan, Kyrgyzstan, Lebanon, Liberia, Libya, Macedonia, Mali, Mongolia, Morocco, Mozambique, Myanmar, Namibia, Nicaragua, Nigeria, North Korea, Pakistan, Peru, Poland, Republic of the Congo, Romania, Russia, Sahrawi Arab Democratic Republic, Serbia, Somalia, Somalia, Sri Lanka, Syria, Tajikistan, Tanzania, Thailand, Turkmenistan, Ukraine, United States of America, Uzbekistan, Venezuela, Vietnam, Yemen, Zambia, Zimbabwe",Rocket Launcher,,,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/T813_army2.JPG/230px-T813_army2.JPG,,"The BM-21 launch vehicle ( Russian : БМ-21 ""Град"" ), (Grad) a Soviet truck-mounted 122 mm multiple rocket launcher, [2] and a M-21OF rocket [3] were developed in the early 1960s. BM stands for boyevaya mashina (combat vehicle), and the nickname grad means "" hail "". The complete system with the BM-21 launch vehicle and the M-21OF rocket is designated as the M-21 Field Rocket System. The complete system is more commonly known as a Grad multiple rocket launcher system. In NATO countries, the system (either the complete system or the launch vehicle only) was initially known as M1964. Several other countries have copied it or developed similar systems."
T-62,http://en.wikipedia.org/wiki/T-62,1961,Uralvagonzavod,Soviet Union,"Afghanistan, Angola, Cuba, Egypt, Eritrea, Ethiopia, Georgia, Iran, Iraq, Kazakhstan, Libya, Mongolia, North Korea, Syria, Tajikistan, Uzbekistan, Vietnam, Yemen",Infantry Vehicle,,10 - 15,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/T-62_BRL.jpg/230px-T-62_BRL.jpg,,"The T-62 is a Soviet main battle tank, a further development of the T-55. Its 115 mm gun was the first smoothbore tank gun in use."
M79 Osa,http://en.wikipedia.org/wiki/M79_Osa,,,Yugoslavia,"Bosnia and Herzegovina, Croatia, Macedonia, Montenegro, Serbia, Syria",Rocket Launcher,,,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/M79-OSA.jpg/230px-M79-OSA.jpg,,"The M79 Osa ('wasp' in English ) is a Yugoslav-made portable 90 mm anti-tank weapon made of fibre-reinforced plastics. It resembles the French portable anti-tank launcher 89 mm LRAC F1. It consists of the launcher, a CN-6 sighting piece, rocket and carrying case for the rocket. The M79 shoots unguided projectiles in direct sight and is effective against armoured fighting vehicles and fortifications."
MT-LB,http://en.wikipedia.org/wiki/MT-LB,1960s,,Soviet Union,"Armenia, Azerbaijan, Bangladesh, Belarus, Bulgaria, Czech Republic, Finland, Georgia, Iraq, Kazakhstan, Lithuania, Moldova, Nigeria, Poland, Romania, Russia, Sweden, Ukraine, United States of America",Infantry Vehicle,,,//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Amna_Sur_02.JPG/230px-Amna_Sur_02.JPG,,"The MT-LB ( м ногоцелевой т ягач л егкий б ронированный, M nogotselevoy T yagach L ekhko B ronirovannyi / multi-purpose light-armoured towing vehicle) is a Soviet multi-purpose fully amphibious auxiliary armoured tracked vehicle, which was first introduced in the late 1960s. Initially, the vehicle was known as the M 1970 in the west."
FIM-92 Stinger,http://en.wikipedia.org/wiki/FIM-92_Stinger,1981,Raytheon Missile Systems,United States,"Angola, Bangladesh, Bosnia and Herzegovina, Chad, Chile, China, Croatia, Denmark, Egypt, Finland, Georgia, Germany, Greece, Iraq, Israel, Italy, Japan, Lithuania, Netherlands, Norway, Pakistan, Portugal, Slovenia, Spain, Switzerland, Turkey, United Kingdom, United States of America",Missile,,,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Launched_FIM-92A_Stinger_missile.jpg/230px-Launched_FIM-92A_Stinger_missile.jpg,,"The FIM-92 Stinger is a personal portable infrared homing surface-to-air missile (SAM), which can be adapted to fire from ground vehicles or helicopters (as an AAM ), developed in the United States and entered into service in 1981. Used by the militaries of the United States and by 29 other countries, it is manufactured by Raytheon Missile Systems, under license by EADS in Germany and by Roketsan in Turkey with 70,000 missiles produced. It is classified as a Man-Portable Air-Defense System (MANPADS) ."
T-55,http://en.wikipedia.org/wiki/T-55,1945,Sikorsky Aircraft,Soviet Union,"Afghanistan, Algeria, Angola, Armenia, Azerbaijan, Bangladesh, Belarus, Bosnia and Herzegovina, Cambodia, Central African Republic, Chad, China, Cuba, Democratic Republic of the Congo, Egypt, Equatorial Guinea, Eritrea, Ethiopia, Georgia, Guinea, Iran, Iraq, Ivory Coast, Laos, Latvia, Lebanon, Libya, Mali, Mauritania, Mongolia, Mozambique, Namibia, Nicaragua, Nigeria, North Korea, Peru, Republic of the Congo, Romania, Rwanda, Sahrawi Arab Democratic Republic, Somalia, Sri Lanka, Sudan, Syria, Tanzania, Togo, Uganda, Uruguay, Uzbekistan, Vietnam, Yemen, Zambia, Zimbabwe",Infantry Vehicle,,45+,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/T-55_4.jpg/230px-T-55_4.jpg,,"The T-54 and T-55 tanks are a series of main battle tanks (according to some sources) although not recognised as an MBT by Soviet and Russian sources, instead classifying them as medium tanks [1] (the very concept of ""main battle tanks"" was applied only to tanks beginning with T-64A, armed with 125-mm tank gun) that were designed in the Soviet Union. The first T-54 prototype appeared in March 1945, just as the Second World War ended. The T-54 entered full production in 1947 and became the main tank for armoured units of the Soviet Army, armies of the Warsaw Pact countries, and others. T-54s and T-55s were involved in many of the world's armed conflicts during the late 20th and early 21st centuries."
AT-4 Spigot,http://en.wikipedia.org/wiki/AT-4_Spigot,1970,,Soviet Union,"Afghanistan, Angola, Armenia, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Cuba, Czech Republic, Ethiopia, Finland, Georgia, Germany, Greece, Hungary, India, Iran, Iraq, Kazakhstan, Kuwait, Libya, Moldova, Mozambique, North Korea, Poland, Romania, Russia, Serbia, Slovakia, Slovenia, Syria, Ukraine, Vietnam, Yemen",Missile,,,//upload.wikimedia.org/wikipedia/commons/thumb/7/72/POLK_9K111_Fagot.jpg/230px-POLK_9K111_Fagot.jpg,,"The 9K111 Fagot ( Russian : 9K111 «Фагот» ; English meaning of the word: "" bassoon "") is a second-generation tube-launched SACLOS wire-guided anti-tank missile system of the Soviet Union for use from ground or vehicle mounts. The 9K111 Fagot missile system was developed by the Tula KBP Design Bureau for Instrument Building. ""9M111"" is the GRAU designation of the missile. Its NATO reporting name is AT-4 Spigot ."
Ain Jaria-1,http://en.wikipedia.org/wiki/AMZ_Dzik,2004,AMZ-Kutno,Poland,"Iraq, Poland",Infantry Vehicle,,,//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Dzik_APC_transports_Iraqi_army_soldiers.jpg/230px-Dzik_APC_transports_Iraqi_army_soldiers.jpg,,"Dzik ( Polish : Wild Boar ) is a 4.5-ton Polish -made multi-purpose infantry mobility vehicle. Produced by the AMZ works in Kutno, it is designed for serving both the patrol and intervention roles, as well as an armoured personnel carrier for use by various peace-keeping and policing forces. Its armour provides defence against 7.62 mm bullets. The Dzik-3 also boasts bulletproof windows, puncture-proof tires and smoke launchers."
M198 Howitzer,http://en.wikipedia.org/wiki/M198_Howitzer,1978,Rock Island Arsenal,United States,"Australia, Ecuador, Honduras, Iraq, Lebanon, Morocco, Pakistan, Saudi Arabia, Thailand, Tunisia, United States of America",Towed Cannon,,52 (max),//upload.wikimedia.org/wikipedia/commons/thumb/8/87/U.S._Marines_in_the_Persian_Gulf_War_%281991%29_001.jpg/230px-U.S._Marines_in_the_Persian_Gulf_War_%281991%29_001.jpg,,"The M198 howitzer is a medium-sized, towed artillery piece, developed for service with the United States Army and Marine Corps. It was commissioned to be a lightweight replacement for the WWII-era M114 155mm howitzer. It was designed and prototyped at the Rock Island Arsenal in 1969 with firing tests beginning in 1970 and went into full production there in 1978. It entered service in 1979 and since then 1,600 units have been produced and put into operation."
Hongjian-8,http://en.wikipedia.org/wiki/HJ-8,1984,"Norinco, Khan Research Laboratories",China,"Albania, Bangladesh, Bolivia, Bosnia and Herzegovina, China, Ecuador, Egypt, Kenya, Malaysia, Morocco, Pakistan, Peru, Sri Lanka, Sudan, Syria, United Arab Emirates, Uruguay, Zimbabwe",Missile,,,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/BaktarShikan3.JPG/230px-BaktarShikan3.JPG,,"The HJ-8 or Hongjian-8 ( ""红箭-8"" transliterated as ""Red Arrow-8"" ) is a second generation tube-launched, optically tracked, wire-guided anti-tank missile system which was originally deployed by the People's Liberation Army since the late 1980s. Pakistan produces this missile system under licence as the Baktar-Shikan at Khan Research Laboratories. [2] [4] It is able to defeat explosive reactive armour (ERA). [5]"
